fname,itp,tp_prob,its,ts_prob
HK.HKCC2.npz_382500.npz,[],[],[],[]
HK.HKCC2.npz_391500.npz,[],[],[],[]
HK.HKCC2.npz_387000.npz,[],[],[],[]
HK.HKCC2.npz_385500.npz,[],[],[],[]
HK.HKCC2.npz_384000.npz,[],[],[],[]
HK.HKCC2.npz_393000.npz,[],[],[],[]
HK.HKCC2.npz_388500.npz,[],[],[],[]
HK.HKCC2.npz_402000.npz,[],[],[],[]
HK.HKCC2.npz_394500.npz,[],[],[],[]
HK.HKCC2.npz_403500.npz,[],[],[],[]
HK.HKCC2.npz_399000.npz,[],[],[],[]
HK.HKCC2.npz_397500.npz,[],[],[],[]
HK.HKCC2.npz_396000.npz,[],[],[],[]
HK.HKCC2.npz_405000.npz,[],[],[],[]
HK.HKCC2.npz_400500.npz,[],[],[],[]
HK.HKCC2.npz_414000.npz,[],[],[],[]
HK.HKCC2.npz_406500.npz,[],[],[],[]
HK.HKCC2.npz_415500.npz,[],[],[],[]
HK.HKCC2.npz_411000.npz,[],[],[],[]
HK.HKCC2.npz_409500.npz,[],[],[2819],[ 0.30885082]
HK.HKCC2.npz_408000.npz,[],[],[],[]
HK.HKCC2.npz_417000.npz,[],[],[],[]
HK.HKCC2.npz_412500.npz,[],[],[],[]
HK.HKCC2.npz_426000.npz,[],[],[],[]
HK.HKCC2.npz_418500.npz,[],[],[],[]
HK.HKCC2.npz_427500.npz,[],[],[],[]
HK.HKCC2.npz_423000.npz,[],[],[],[]
HK.HKCC2.npz_421500.npz,[],[],[],[]
HK.HKCC2.npz_420000.npz,[],[],[],[]
HK.HKCC2.npz_429000.npz,[],[],[],[]
HK.HKCC2.npz_424500.npz,[],[],[],[]
HK.HKCC2.npz_438000.npz,[],[],[],[]
HK.HKCC2.npz_430500.npz,[],[],[],[]
HK.HKCC2.npz_439500.npz,[],[],[],[]
HK.HKCC2.npz_435000.npz,[],[],[],[]
HK.HKCC2.npz_433500.npz,[],[],[],[]
HK.HKCC2.npz_432000.npz,[],[],[],[]
HK.HKCC2.npz_441000.npz,[],[],[],[]
HK.HKCC2.npz_436500.npz,[],[],[],[]
HK.HKCC2.npz_450000.npz,[],[],[],[]
HK.HKCC2.npz_442500.npz,[],[],[],[]
HK.HKCC2.npz_451500.npz,[],[],[],[]
HK.HKCC2.npz_447000.npz,[],[],[],[]
HK.HKCC2.npz_445500.npz,[],[],[],[]
HK.HKCC2.npz_444000.npz,[],[],[],[]
HK.HKCC2.npz_453000.npz,[],[],[],[]
HK.HKCC2.npz_448500.npz,[],[],[],[]
HK.HKCC2.npz_462000.npz,[],[],[],[]
HK.HKCC2.npz_454500.npz,[],[],[],[]
HK.HKCC2.npz_463500.npz,[],[],[134],[ 0.52993083]
HK.HKCC2.npz_459000.npz,[],[],[],[]
HK.HKCC2.npz_457500.npz,[],[],[],[]
HK.HKCC2.npz_456000.npz,[],[],[],[]
HK.HKCC2.npz_465000.npz,[],[],[],[]
HK.HKCC2.npz_460500.npz,[],[],[],[]
HK.HKCC2.npz_474000.npz,[],[],[],[]
HK.HKCC2.npz_466500.npz,[],[],[],[]
HK.HKCC2.npz_475500.npz,[],[],[],[]
HK.HKCC2.npz_471000.npz,[],[],[],[]
HK.HKCC2.npz_469500.npz,[],[],[],[]
HK.HKCC2.npz_468000.npz,[],[],[],[]
HK.HKCC2.npz_477000.npz,[],[],[],[]
HK.HKCC2.npz_472500.npz,[],[],[],[]
HK.HKCC2.npz_486000.npz,[],[],[],[]
HK.HKCC2.npz_478500.npz,[],[],[],[]
