fname,itp,tp_prob,its,ts_prob
CCC.mseed_942000,[ 152 1325],[ 0.67810595  0.7347605 ],[1720],[ 0.7083159]
CCC.mseed_945000,[ 367 1139 2197],[ 0.86470646  0.32550752  0.46386167],[ 700 1284 2539],[ 0.5948624   0.81848955  0.4196885 ]
CCC.mseed_948000,[ 625 1385 2750],[ 0.73961055  0.42801422  0.9443203 ],[203 949],[ 0.4153698  0.7008971]
CCC.mseed_951000,[846],[ 0.8980114],[ 105 1257],[ 0.78968596  0.7212565 ]
CCC.mseed_954000,[ 132 1191],[ 0.7108752  0.5297961],[ 588 1545],[ 0.46746117  0.63876796]
CCC.mseed_957000,[1093 2417],[ 0.537809   0.9771762],[2773],[ 0.88531536]
CCC.mseed_960000,[1387],[ 0.8286357],[1831],[ 0.46603885]
CCC.mseed_963000,[337],[ 0.96008945],[676],[ 0.6090152]
CCC.mseed_966000,[ 179 1922 2956],[ 0.8274123   0.9033269   0.31715396],[ 537 2261],[ 0.8081824  0.8439577]
CCC.mseed_969000,[2575],[ 0.8931368],[2906],[ 0.7592286]
CCC.mseed_972000,[ 123 1182],[ 0.89318275  0.9289609 ],[ 564 1578],[ 0.727827   0.7341693]
CCC.mseed_975000,[ 314 1047],[ 0.9615708  0.9359957],[ 664 1398],[ 0.9112457   0.87327456]
CCC.mseed_978000,[247],[ 0.9667293],[597],[ 0.9241286]
CCC.mseed_981000,[ 48 820],[ 0.321536   0.7923997],[ 466 1228],[ 0.74316496  0.7245341 ]
CCC.mseed_984000,[],[],[],[]
CCC.mseed_987000,[1161 1867],[ 0.9313982   0.30414724],[1498 2092],[ 0.7595178  0.598671 ]
CCC.mseed_990000,[1789 2677],[ 0.7672278  0.7024118],[2178],[ 0.7449409]
CCC.mseed_993000,[ 928 2389],[ 0.4133693  0.9438783],[1386 2763],[ 0.3988228  0.5882195]
